label,message
spam,URGENT! Your account has been suspended. Verify now at bit.ly/claim-now to avoid deactivation.
ham,"I reached home safely, thanks for dropping me."
ham,"Just checking in, how have you been?"
spam,Limited time offer! Get 70% off on all products. Shop now: tinyurl.com/win-prize
ham,Great job on the presentation today!
ham,"Let's catch up this weekend, it's been a while."
ham,Do you want to grab coffee tomorrow?
ham,"I left my charger at your place, can I pick it up?"
ham,Great job on the presentation today!
ham,Can you pick up milk on your way home?
ham,"Aman, are you coming to the party on Saturday?"
ham,"I'll be there in 18 minutes, traffic is bad."
spam,You've been chosen to receive a free iPhone 15. Reply YES to claim your gift now.
ham,I'll send the report by end of day.
ham,How was your exam? Hope it went well.
ham,Don't forget the meeting tomorrow at 8am.
ham,"The weather looks nice today, want to go for a walk?"
ham,I'll send the report by end of day.
ham,"The weather looks nice today, want to go for a walk?"
ham,Can you send me your address again?
ham,I'll send the report by end of day.
ham,"Just checking in, how have you been?"
ham,Let me know once you land at the airport.
ham,"Ravi, thanks for helping me yesterday, really appreciate it."
ham,"I'm running late, start without me."
ham,"I'm running late, start without me."
ham,"I finished the assignment, sending it to you now."
spam,You have been selected for a FREE laptop!! Call 08001234567 now to claim your prize.
ham,"Rahul, i'll be there in 2 minutes, traffic is bad."
ham,"Please call me when you're free, nothing urgent."
ham,What time does the movie start tonight?
ham,I'll send the report by end of day.
ham,Mom said dinner will be ready by 7:15pm.
ham,"I'll be there in 29 minutes, traffic is bad."
ham,"Priya, just checking in, how have you been?"
ham,Happy birthday! Hope you have a great day.
ham,"Rahul, please send me the notes from today's class."
ham,See you at the gym at 6pm?
ham,"Just checking in, how have you been?"
ham,Can we reschedule our call to 9am?
spam,You have an unclaimed refund of Rs.5000. Claim it now before it expires: offer-link.co
ham,"John, i'll be there in 3 minutes, traffic is bad."
ham,"Hey, are we still meeting at 10:30am today?"
ham,"Ravi, how was your exam? Hope it went well."
spam,"Congrats! You are pre-approved for a credit card with Rs.1,00,000 limit. Apply: offer-link.co"
ham,Can you help me move some boxes this weekend?
ham,"I watched that movie you recommended, it was great."
spam,FREE entry into our 50000 weekly prize draw just by texting WIN to 08001234567.
ham,"Priya, mom said dinner will be ready by 7:15pm."
ham,"I watched that movie you recommended, it was great."
ham,"I reached home safely, thanks for dropping me."
ham,Can you send me your address again?
spam,Your parcel could not be delivered. Pay Rs.5000 customs fee here: offer-link.co
ham,Please send me the notes from today's class.
ham,"John, can we reschedule our call to 10:30am?"
ham,See you at the gym at 5pm?
spam,"Congrats! You are pre-approved for a credit card with Rs.1,00,000 limit. Apply: get-reward.net"
ham,Happy birthday! Hope you have a great day.
ham,"Please call me when you're free, nothing urgent."
ham,"Let's catch up this weekend, it's been a while."
ham,"I'm running late, start without me."
ham,"I'm running late, start without me."
ham,"John, i'll be there in 24 minutes, traffic is bad."
ham,Do you want to grab coffee tomorrow?
ham,"Sara, i'll send the report by end of day."
ham,"The weather looks nice today, want to go for a walk?"
ham,Don't forget the meeting tomorrow at 10:30am.
ham,How was your exam? Hope it went well.
ham,Please send me the notes from today's class.
ham,How was your exam? Hope it went well.
ham,"John, do you want to grab coffee tomorrow?"
spam,FINAL NOTICE: Your subscription payment failed. Update details at offer-link.co immediately.
spam,"Congratulations! You have WON a holiday package worth Rs.1,00,000. Click here to claim now: tinyurl.com/win-prize"
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Let's catch up this weekend, it's been a while."
ham,Don't forget the meeting tomorrow at 5pm.
ham,Can you help me move some boxes this weekend?
ham,"Rahul, congrats on the new job! So happy for you."
spam,You've been chosen to receive a free holiday package. Reply YES to claim your gift now.
spam,Your number has been randomly selected to win an iPhone! Claim at offer-link.co
ham,Do you want to grab coffee tomorrow?
spam,You've been chosen to receive a free holiday package. Reply YES to claim your gift now.
ham,"Anjali, do you want to grab coffee tomorrow?"
ham,"Just checking in, how have you been?"
spam,Act now! Investment opportunity guaranteed to double your money in 38 days.
ham,"The weather looks nice today, want to go for a walk?"
ham,The project deadline got extended to next Monday.
ham,How was your exam? Hope it went well.
ham,"Hey, are we still meeting at 9am today?"
ham,"Sara, thanks for helping me yesterday, really appreciate it."
ham,"Ravi, let's catch up this weekend, it's been a while."
ham,"I left my charger at your place, can I pick it up?"
ham,"John, how was your exam? Hope it went well."
ham,"Aman, the weather looks nice today, want to go for a walk?"
ham,"Anjali, great job on the presentation today!"
ham,Can you send me your address again?
ham,See you at the gym at noon?
ham,"Anjali, the project deadline got extended to next Wednesday."
spam,Congrats! You are pre-approved for a credit card with Rs.50000 limit. Apply: tinyurl.com/win-prize
ham,"I'll be there in 43 minutes, traffic is bad."
ham,"Hey, are we still meeting at noon today?"
ham,Don't forget the meeting tomorrow at 9am.
spam,Hot singles in your area want to chat with you now! Click get-reward.net
ham,"The weather looks nice today, want to go for a walk?"
ham,"John, are you coming to the party on Saturday?"
ham,Are you coming to the party on Saturday?
ham,"Meera, are you coming to the party on Saturday?"
ham,Can you pick up milk on your way home?
ham,"I'm running late, start without me."
ham,See you at the gym at 7:15pm?
ham,"John, can we reschedule our call to 5pm?"
ham,"Hey, are we still meeting at noon today?"
spam,Cash prize of Rs.2500 is waiting for you! Click get-reward.net to claim instantly.
spam,FINAL NOTICE: Your subscription payment failed. Update details at offer-link.co immediately.
ham,Congrats on the new job! So happy for you.
ham,"Meera, see you at the gym at 6pm?"
ham,"Aman, do you want to grab coffee tomorrow?"
ham,Can you pick up milk on your way home?
ham,"I reached home safely, thanks for dropping me."
ham,"Aman, can you pick up milk on your way home?"
ham,Happy birthday! Hope you have a great day.
ham,How was your exam? Hope it went well.
spam,You have been selected for a FREE smartwatch!! Call 08001234567 now to claim your prize.
ham,"Aman, don't forget the meeting tomorrow at 6pm."
ham,"Anjali, i'll send the report by end of day."
ham,"I'll be there in 35 minutes, traffic is bad."
ham,"I finished the assignment, sending it to you now."
ham,Congrats on the new job! So happy for you.
ham,The project deadline got extended to next Friday.
ham,"Priya, hey, are we still meeting at 9am today?"
ham,Do you want to grab coffee tomorrow?
ham,Let me know once you land at the airport.
ham,What time does the movie start tonight?
ham,"Priya, please call me when you're free, nothing urgent."
ham,"Ravi, i finished the assignment, sending it to you now."
ham,Don't forget the meeting tomorrow at 9am.
ham,"Just checking in, how have you been?"
ham,"Meera, how was your exam? Hope it went well."
ham,Congrats on the new job! So happy for you.
ham,"Sara, let's catch up this weekend, it's been a while."
ham,Great job on the presentation today!
ham,What time does the movie start tonight?
ham,"Ravi, mom said dinner will be ready by noon."
spam,Congrats! You are pre-approved for a credit card with Rs.10000 limit. Apply: get-reward.net
ham,"Please call me when you're free, nothing urgent."
ham,"Aman, i left my charger at your place, can I pick it up?"
ham,Don't forget the meeting tomorrow at noon.
ham,Are you coming to the party on Saturday?
spam,FREE entry into our 2500 weekly prize draw just by texting WIN to 09876543210.
ham,"Priya, do you want to grab coffee tomorrow?"
ham,"Sara, i watched that movie you recommended, it was great."
ham,"Meera, can we reschedule our call to 9am?"
